department_id,department,hotel_id
H1D1,Front Office,H1
H1D2,Housekeeping,H1
H1D3,Food and Beverage,H1
H1D4,Sales and Marketing,H1
H1D5,Engineering and Maintenance,H1
H1D6,Security,H1
H1D7,Human Resources,H1
H1D8,Finance,H1
H1D9,Recreation and Leisure,H1
H1D10,Information Technology,H1
H2D1,Front Office,H2
H2D2,Housekeeping,H2
H2D3,Food and Beverage,H2
H2D4,Sales and Marketing,H2
H2D5,Engineering and Maintenance,H2
H2D6,Security,H2
H2D7,Human Resources,H2
H2D8,Finance,H2
H2D9,Recreation and Leisure,H2
H2D10,Information Technology,H2
H3D1,Front Office,H3
H3D2,Housekeeping,H3
H3D3,Food and Beverage,H3
H3D4,Sales and Marketing,H3
H3D5,Engineering and Maintenance,H3
H3D6,Security,H3
H3D7,Human Resources,H3
H3D8,Finance,H3
H3D9,Recreation and Leisure,H3
H3D10,Information Technology,H3
H4D1,Front Office,H4
H4D2,Housekeeping,H4
H4D3,Food and Beverage,H4
H4D4,Sales and Marketing,H4
H4D5,Engineering and Maintenance,H4
H4D6,Security,H4
H4D7,Human Resources,H4
H4D8,Finance,H4
H4D9,Recreation and Leisure,H4
H4D10,Information Technology,H4
H5D1,Front Office,H5
H5D2,Housekeeping,H5
H5D3,Food and Beverage,H5
H5D4,Sales and Marketing,H5
H5D5,Engineering and Maintenance,H5
H5D6,Security,H5
H5D7,Human Resources,H5
H5D8,Finance,H5
H5D9,Recreation and Leisure,H5
H5D10,Information Technology,H5
H6D1,Front Office,H6
H6D2,Housekeeping,H6
H6D3,Food and Beverage,H6
H6D4,Sales and Marketing,H6
H6D5,Engineering and Maintenance,H6
H6D6,Security,H6
H6D7,Human Resources,H6
H6D8,Finance,H6
H6D9,Recreation and Leisure,H6
H6D10,Information Technology,H6
H7D1,Front Office,H7
H7D2,Housekeeping,H7
H7D3,Food and Beverage,H7
H7D4,Sales and Marketing,H7
H7D5,Engineering and Maintenance,H7
H7D6,Security,H7
H7D7,Human Resources,H7
H7D8,Finance,H7
H7D9,Recreation and Leisure,H7
H7D10,Information Technology,H7
H8D1,Front Office,H8
H8D2,Housekeeping,H8
H8D3,Food and Beverage,H8
H8D4,Sales and Marketing,H8
H8D5,Engineering and Maintenance,H8
H8D6,Security,H8
H8D7,Human Resources,H8
H8D8,Finance,H8
H8D9,Recreation and Leisure,H8
H8D10,Information Technology,H8
H9D1,Front Office,H9
H9D2,Housekeeping,H9
H9D3,Food and Beverage,H9
H9D4,Sales and Marketing,H9
H9D5,Engineering and Maintenance,H9
H9D6,Security,H9
H9D7,Human Resources,H9
H9D8,Finance,H9
H9D9,Recreation and Leisure,H9
H9D10,Information Technology,H9
H10D1,Front Office,H10
H10D2,Housekeeping,H10
H10D3,Food and Beverage,H10
H10D4,Sales and Marketing,H10
H10D5,Engineering and Maintenance,H10
H10D6,Security,H10
H10D7,Human Resources,H10
H10D8,Finance,H10
H10D9,Recreation and Leisure,H10
H10D10,Information Technology,H10
